CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0137,0.9929498276541521
C0001,C0191,0.9899955768184445
C0001,C0011,0.9835687994080826
C0002,C0088,0.9912395581614393
C0002,C0142,0.9904597213747589
C0002,C0178,0.9738866317107535
C0003,C0190,0.986809408895952
C0003,C0147,0.9725038664799798
C0003,C0174,0.9619339019967396
C0004,C0113,0.9872224094596902
C0004,C0165,0.9678312328140829
C0004,C0012,0.9643262251005871
C0005,C0140,0.9931015640629675
C0005,C0186,0.9877951897970261
C0005,C0123,0.9810076568042596
C0006,C0048,0.9844361799111195
C0006,C0184,0.9715852399048496
C0006,C0107,0.9702044032481315
C0007,C0146,0.9975891981876923
C0007,C0115,0.9772936653204347
C0007,C0186,0.9679933337454837
C0008,C0018,0.9766458673846684
C0008,C0068,0.9375034675957198
C0008,C0034,0.9236825167090601
C0009,C0061,0.9696493357548981
C0009,C0198,0.9581145045012136
C0009,C0167,0.9395285203200883
C0010,C0121,0.9714613136388076
C0010,C0111,0.9680261912508971
C0010,C0172,0.9556439593373095
C0011,C0107,0.991399981004974
C0011,C0001,0.9835687994080826
C0011,C0137,0.9770980028693655
C0012,C0153,0.9868585263791376
C0012,C0163,0.9845965173970957
C0012,C0102,0.9752124121697204
C0013,C0148,0.9923912522997946
C0013,C0104,0.9874378160089302
C0013,C0163,0.9852354781644264
C0014,C0063,0.9750085555172595
C0014,C0119,0.9745560467312872
C0014,C0198,0.9474454241326925
C0015,C0058,0.9871396740657746
C0015,C0020,0.9718138741774461
C0015,C0131,0.96889974726511
C0016,C0185,0.9927856604947725
C0016,C0050,0.9814184307646185
C0016,C0079,0.9786429454046847
C0017,C0124,0.9682868821508207
C0017,C0053,0.9631224638151875
C0017,C0075,0.9562044501075638
C0018,C0008,0.9766458673846684
C0018,C0122,0.9679948988099749
C0018,C0046,0.9654934846369848
C0019,C0166,0.9976813663189096
C0019,C0073,0.9949426302811176
C0019,C0199,0.9864977066569173
C0020,C0015,0.9718138741774461
C0020,C0131,0.9678222102223382
C0020,C0058,0.9432711640310344
